email_id,parser_id,model_name,context_limit,prompt_id,input_tokens,fits,overflow_tokens,status,raw_output,parse_ok,pred_label
1672634036.2920601_11_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,4138,True,0,ok,LABEL: 1,True,1
1672634036.2920601_11_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,4177,True,0,ok,"LABEL: 1
EVIDENCE:
- The email address is suspicious, using a domain like ""now-on-lowes-hardware@on-lowstool.info"" which does not match a legitimate Lowe's email domain.
- The subject line promises a reward for every visit, which is a common tactic used in phishing emails to entice recipients to click.
- The email contains a link with a long, complex URL (""http://www.on-lowstool.info/a614z2395B8Nq611m44dds1089x21IFv4GIf4rxvs4FhIHEsvZ7lQWdQee7nBg1Sh06hPBwD0/Olsen-carnivals"") that appears to be obfuscated or shortened, which is often used to hide the true destination of the link.
- The email uses a generic greeting and lacks any personalization, which is unusual for legitimate communications.
- The footer includes a misleading link (""http://www.on-lowstool.info/ringing-pocketbook/a9e4o2395Q8G6C11y44deo1089o21tFv4GIf4rxvs4FhIHEsvZ7qQWdQee7uP1Pog06E1OwzD"") that does not appear to be related to Lowe's.
- The overall structure and design of the email seem unprofessional and are likely to be a phishing attempt.",True,1
1672634036.2920601_11_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,4244,True,0,ok,"LABEL: 1
EVIDENCE:
- Sender address and reply-to address are suspicious (Now On LOWES Hardware <now-on-lowes-hardware@on-lowstool.info>)
- Domain in the link (http://www.on-lowstool.info/) does not match a legitimate Lowe's domain
- Urgent language used (""You are just a few clicks away to get The $100 Lowe's Card"")
- Requests for action (clicking a link to start a service survey)
- Spelling and grammar issues (""The $100 Lowe's Card"", ""126 E 23rd St New York, NY, US 10010"")
- Mismatched identity (the email claims to be from Lowe's but uses a suspicious domain and sender name)

SUMMARY: The email is likely phishing due to the suspicious sender, domain mismatch, urgent language, and poor grammar.",True,1
1696255136.857613_13_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,3223,True,0,ok,LABEL: 1,True,1
1696255136.857613_13_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,3262,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email uses a suspicious domain (mastertools.click) that does not match the official Harbor Freight domain.
- The email contains multiple nested tables which is often a sign of poor design and can be used to obfuscate malicious links.
- The email includes a misleading image link with a long, complex URL that could lead to a phishing site.
- The email has a generic and urgent tone, encouraging immediate action without providing specific details about the tool set or the offer.
- The footer includes a strange message about missing the user, which seems out of place and suspicious.",True,1
1696255136.857613_13_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3329,True,0,ok,"LABEL: 1
EVIDENCE:
- The sender address is suspicious, using a domain that does not match the official Harbor Freight domain (e.g., `mastertools.click` instead of `harborfreight.com`).
- There are multiple nested tables with no clear content, which is unusual and can be a sign of phishing.
- The email contains a link (`http://www.mastertools.click/abb4H2395L86WP12E6116OI17a6X21fFv4GIf4rxvs4FhIHEsvZ7zQFRdQe6n1r0NI6izAw2D/sprints-identified`) that redirects to a different domain, which is a common tactic in phishing.
- The subject line uses urgent language (""Act swiftly and grasp this chance!""), pressuring the recipient to act quickly.
- The email includes a misspelling in ""Important News"" (likely meant to be ""Important Notice"").
- The footer contains a mismatched address (""US 10010 126 E 23rd St New York, NY"") which does not correspond to a known Harbor Freight location.

SUMMARY: The email is likely phishing due to the suspicious sender domain, nested table structure, urgent language, and other formatting and content inconsistencies.",True,1
1696277162.872167_9_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,1245,True,0,ok,LABEL: 0,True,0
1696277162.872167_9_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,1284,True,0,ok,"LABEL: 0
EVIDENCE:
- The email appears to be a standard business inquiry and does not request any personal information or action from the recipient.
- There are no links or attachments that seem suspicious or out of context.
- The sender's intent is to establish a business relationship rather than to deceive or harm the recipient.",True,0
1696277162.872167_9_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,1351,True,0,ok,"LABEL: 0
EVIDENCE:
- The email does not contain any suspicious links or domains.
- There is no urgent language or pressure tactics used.
- No requests for login, payment, verification, or personal information are made.
- The email appears to be a standard business inquiry and does not contain any spelling, grammar, or formatting issues.
- The sender's address and the ""To"" field address appear to be legitimate and do not indicate any brand impersonation.
- No authentication information is provided in the email content.

SUMMARY: This email seems to be a standard business inquiry and does not exhibit typical phishing characteristics.",True,0
1696277168.872170_5_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,3123,True,0,ok,LABEL: 0,True,0
1696277168.872170_5_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,3162,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email uses a suspicious sender address (kroger-customer-privilege@offerskrogrtop.click).
- The links in the email are not from a legitimate Kroger domain but instead lead to ""http://www.offerskrogrtop.click"".
- The email contains unusual HTML structure and multiple nested divs and tables, which can be a sign of phishing attempts.
- The use of generic greetings and phrases like ""Start Here Now"" without any personalization suggests it might be a mass-sent phishing email.",True,1
1696277168.872170_5_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3229,True,0,ok,"LABEL: 1
EVIDENCE:
- Suspicious sender address and reply-to address (uses a domain like ""offerskrogrtop.click"" which is not a legitimate Kroger domain).
- Presence of a link in the email that does not match the official Kroger URL.
- Urgent language and pressure tactics (""Start Here Now"", ""We're excited to receive your feedback soon"").
- Brand impersonation (the email appears to mimic Kroger's style but uses a fake domain).
- Mismatched identities (the email claims to be from ""The Kroger Survey Team"" but the domain is not authentic).

SUMMARY: The email is phishing due to the use of a fake domain, suspicious links, and brand impersonation.",True,1
1696549187.1052961_3_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,2480,True,0,ok,LABEL: 1,True,1
1696549187.1052961_3_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,2519,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email uses a suspicious sender address (WIFI UltraBoost <shorten@amirarowe.sa.com>).
- The URL in the link is obfuscated and contains unusual characters (kjbxvp/eosorxt18012omupur).
- The email contains multiple images and links without clear context or explanation, which is often a tactic used in phishing to trick users into clicking.
- The unsubscribe link is also suspicious and contains a long, complex URL that could be malicious.",True,1
1696549187.1052961_3_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,2586,True,0,ok,"LABEL: 1
EVIDENCE:
- The sender address (shorten@amirarowe.sa.com) does not match the domain in the URL (AmiraRowe.sa.com), indicating potential domain spoofing.
- There are multiple suspicious links with long, encoded URLs that could be used to redirect to malicious sites.
- The email uses urgent language and pressure tactics, encouraging immediate action to visit a website and purchase a product.
- The email contains a request for the user to click on a link, which is a common tactic used in phishing attacks to direct users to malicious websites.
- The unsubscribe link is also suspicious and leads to a different domain, which is often a red flag in phishing emails.
- The formatting and use of images are overly promotional and lack the professional touch of legitimate communications.
SUMMARY: The email exhibits several key characteristics of a phishing attempt, including domain spoofing, suspicious URLs, and urgent calls to action.",True,1
1696601820.1074036_1_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,1481,True,0,ok,LABEL: 1,True,1
1696601820.1074036_1_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,1520,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email subject line uses a sensational and misleading claim (""Can't Poop? Do This For 8 Seconds"").
- The email contains a suspicious URL in the anchor text of ""8-second cleanse"" which could be a phishing link.
- The email provides an option to stop future communications by sending mail to a generic address, which is often a tactic used in phishing to gather personal information.",True,1
1696601820.1074036_1_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,1587,True,0,ok,"LABEL: 0
EVIDENCE:
- The subject line is misleading and unrelated to any potential security threat.
- There are no requests for login, payment, verification, or personal information.
- The email does not contain any suspicious links or domains.
- The content is not urgent or uses pressure tactics.
- The email does not appear to be from a reputable source and seems to be a scam attempt to gain attention.
- The formatting and style of the email are not indicative of a phishing attempt but rather seem like a poorly crafted spam message.
SUMMARY: The email appears to be a humorous and likely fraudulent health claim rather than a genuine phishing attempt.",True,0
1696816897.1169292_17_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,2347,True,0,ok,LABEL: 1,True,1
1696816897.1169292_17_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,2386,True,0,ok,"LABEL: 1
EVIDENCE:
- The email uses a generic greeting and does not address the recipient by name.
- The offer includes a limited-time discount and free shipping, which is often a tactic used in phishing to create a sense of urgency.
- The email contains a clickable image link without any clear text description, which is suspicious and can be used to redirect users to malicious sites.",True,1
1696816897.1169292_17_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,2453,True,0,ok,"LABEL: 1
EVIDENCE:
- The sender address ""bombshell@shallowgap.sa.com"" does not match the domain in the URL ""http://www.shallowgap.sa.com/rkijnrh/fglivec18059anjvlom/FPZZp8W65p0JCkFiAiT07U9jXjLOQ2XxqnjCRXBbp80/J9l_58tQJSKHosLGYDBwaV1xtbkY8IxH_G2_gjqkvnc"".
- The email uses urgent language with ""HURRY LIMITED-TIME OFFER"".
- There is a request for action with a link to purchase a product.
- The email contains a suspicious link and domain, which may be used to redirect to a malicious site.
- The unsubscribe link is not standard and does not provide clear information about where the unsubscribe request will be processed.
- The formatting and style of the email are overly promotional and do not follow typical professional email standards.

SUMMARY: The email is likely phishing due to the mismatched sender and recipient domains, urgent language, and suspicious links.",True,1
1696816914.1169295_11_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,3339,True,0,ok,LABEL: 1,True,1
1696816914.1169295_11_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,3378,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email is sent from a suspicious domain (mini4kdrone@limitbeard.sa.com).
- The email uses high-pressure language and claims that the product was previously only available to ""the already rich and successful.""
- There is a link in the email that appears to be a tracking link rather than a direct link to the product page, which is often used in phishing attempts to redirect users to malicious sites.",True,1
1696816914.1169295_11_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3445,True,0,ok,"LABEL: <1>
EVIDENCE:
- The sender address (mini4kdrone@limitbeard.sa.com) does not match a legitimate company's domain.
- Suspicious links or domains in the email (http://www.limitbeard.sa.com/).
- Urgent language or pressure tactics (""Take The Most Stunning Selfies & Videos"", ""The bar for entry has finally dropped so low"").
- Requests for action (""Click on the button below for more details"", ""Get yours now with 50% discount and free shipping worldwide!"").
- Brand impersonation or mismatched identities (the email claims to be from a luxury drone but uses a suspicious domain).
- Poor spelling and grammar (""qualit"", ""point"", ""each charge?"" instead of ""quality"", ""pointless"", ""each charge"").

SUMMARY: The email is likely phishing due to the suspicious domain, poor grammar, and pressure tactics to prompt immediate action.",True,1
1696816914.1169295_51_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,515,True,0,ok,LABEL: 0,True,0
1696816914.1169295_51_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,554,True,0,ok,"LABEL: <0>
EVIDENCE:
- The email uses a generic greeting ""Dear friend"" without any personalization.
- The sender's email address appears suspicious and is not a typical business email format.
- The email does not provide any specific details about the product or services that would indicate it is from a legitimate source.
- It includes contact information (Wechat and Whatsapp) which is unusual and could be a tactic to bypass traditional email communication methods.",True,0
