model_specification,formula,converged,n_rows,n_clusters,qic,qicu,error
main_effects,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no'))",True,1920,160,1794.7001833780866,1802.488633579041,
screen_model_X_prompt,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(prompt, Treatment(reference='evidence'))",True,1920,160,1791.8384797723966,1803.340791506286,
screen_model_X_parser,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(parser, Treatment(reference='P1'))",True,1920,160,1791.6079354667643,1800.959051347301,
screen_model_X_year,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(year_num, Treatment(reference=2023))",True,1920,160,1790.7046027907713,1800.2201784941158,
screen_model_X_dataset,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(dataset_clean, Treatment(reference='nazario'))",True,1920,160,1792.620933635284,1802.1304081477606,
screen_model_X_obfuscation,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(obfuscation_clean, Treatment(reference='no'))",True,1920,160,1782.5098460882377,1791.91385716898,
screen_prompt_X_parser,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(prompt, Treatment(reference='evidence')):C(parser, Treatment(reference='P1'))",True,1920,160,1788.8050967433437,1800.212105330251,
screen_prompt_X_year,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(prompt, Treatment(reference='evidence')):C(year_num, Treatment(reference=2023))",True,1920,160,1796.3573385293307,1807.659314565764,
screen_prompt_X_dataset,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(prompt, Treatment(reference='evidence')):C(dataset_clean, Treatment(reference='nazario'))",True,1920,160,1788.8770097116976,1800.344845490333,
screen_prompt_X_obfuscation,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(prompt, Treatment(reference='evidence')):C(obfuscation_clean, Treatment(reference='no'))",True,1920,160,1796.579871177744,1808.026592866264,
screen_parser_X_year,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(parser, Treatment(reference='P1')):C(year_num, Treatment(reference=2023))",True,1920,160,1792.101949280397,1801.535676455838,
screen_parser_X_dataset,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(parser, Treatment(reference='P1')):C(dataset_clean, Treatment(reference='nazario'))",True,1920,160,1783.4461222667699,1792.9443503693644,
screen_parser_X_obfuscation,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(parser, Treatment(reference='P1')):C(obfuscation_clean, Treatment(reference='no'))",True,1920,160,1772.0843320112988,1781.3410405241495,
screen_year_X_dataset,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(year_num, Treatment(reference=2023)):C(dataset_clean, Treatment(reference='nazario'))",True,1920,160,1757.6526098268735,1766.282579798055,
screen_year_X_obfuscation,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(year_num, Treatment(reference=2023)):C(obfuscation_clean, Treatment(reference='no'))",True,1920,160,1789.7240572628118,1797.895603685568,
screen_dataset_X_obfuscation,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(dataset_clean, Treatment(reference='nazario')):C(obfuscation_clean, Treatment(reference='no'))",True,1920,160,1793.493969083566,1801.626991804116,
combined_key_interactions,"detected ~ C(model, Treatment(reference='Llama')) + C(prompt, Treatment(reference='evidence')) + C(parser, Treatment(reference='P1')) + C(year_num, Treatment(reference=2023)) + C(dataset_clean, Treatment(reference='nazario')) + C(obfuscation_clean, Treatment(reference='no')) + C(model, Treatment(reference='Llama')):C(prompt, Treatment(reference='evidence')) + C(model, Treatment(reference='Llama')):C(parser, Treatment(reference='P1')) + C(prompt, Treatment(reference='evidence')):C(parser, Treatment(reference='P1')) + C(parser, Treatment(reference='P1')):C(obfuscation_clean, Treatment(reference='no')) + C(parser, Treatment(reference='P1')):C(dataset_clean, Treatment(reference='nazario')) + C(year_num, Treatment(reference=2023)):C(dataset_clean, Treatment(reference='nazario')) + C(prompt, Treatment(reference='evidence')):C(year_num, Treatment(reference=2023))",True,1920,160,1703.219226748484,1727.5941840668129,
