Factor,Comparison,Fixed condition,Pairs,Recall A (%),Recall B (%),Difference (pp),Discordant A/B,Raw p,Holm p,FDR p
model,Llama vs Qwen,prompt=evidence; parser=P1,160,96.88,85.0,11.88,20/1,$<0.001$,$<0.001$,$<0.001$
model,Llama vs Qwen,prompt=evidence; parser=P2,160,95.62,71.88,23.75,39/1,$<0.001$,$<0.001$,$<0.001$
model,Llama vs Qwen,prompt=guided; parser=P2,160,81.25,61.25,20.0,36/4,$<0.001$,$<0.001$,$<0.001$
model,Llama vs Qwen,prompt=label; parser=P1,160,85.0,65.0,20.0,40/8,$<0.001$,$<0.001$,$<0.001$
model,Llama vs Qwen,prompt=label; parser=P2,160,72.5,39.38,33.12,61/8,$<0.001$,$<0.001$,$<0.001$
model,Llama vs Qwen,prompt=guided; parser=P1,160,81.88,72.5,9.38,22/7,0.008,0.008,0.008
parser,P1 vs P2,model=Llama; prompt=label,160,85.0,72.5,12.5,26/6,$<0.001$,0.002,0.001
parser,P1 vs P2,model=Qwen; prompt=evidence,160,85.0,71.88,13.12,27/6,$<0.001$,0.002,$<0.001$
parser,P1 vs P2,model=Qwen; prompt=label,160,65.0,39.38,25.63,49/8,$<0.001$,$<0.001$,$<0.001$
parser,P1 vs P2,model=Qwen; prompt=guided,160,72.5,61.25,11.25,28/10,0.005,0.015,0.008
parser,P1 vs P2,model=Llama; prompt=evidence,160,96.88,95.62,1.25,4/2,0.688,1.000,0.825
parser,P1 vs P2,model=Llama; prompt=guided,160,81.88,81.25,0.62,15/14,1.000,1.000,1.000
prompt,evidence vs guided,model=Llama; parser=P1,160,96.88,81.88,15.0,25/1,$<0.001$,$<0.001$,$<0.001$
prompt,evidence vs label,model=Llama; parser=P1,160,96.88,85.0,11.88,20/1,$<0.001$,$<0.001$,$<0.001$
prompt,evidence vs guided,model=Llama; parser=P2,160,95.62,81.25,14.38,23/0,$<0.001$,$<0.001$,$<0.001$
prompt,evidence vs label,model=Llama; parser=P2,160,95.62,72.5,23.13,37/0,$<0.001$,$<0.001$,$<0.001$
prompt,evidence vs guided,model=Qwen; parser=P1,160,85.0,72.5,12.5,20/0,$<0.001$,$<0.001$,$<0.001$
prompt,evidence vs label,model=Qwen; parser=P1,160,85.0,65.0,20.0,33/1,$<0.001$,$<0.001$,$<0.001$
prompt,evidence vs guided,model=Qwen; parser=P2,160,71.88,61.25,10.62,18/1,$<0.001$,$<0.001$,$<0.001$
prompt,evidence vs label,model=Qwen; parser=P2,160,71.88,39.38,32.5,52/0,$<0.001$,$<0.001$,$<0.001$
prompt,guided vs label,model=Qwen; parser=P2,160,61.25,39.38,21.88,37/2,$<0.001$,$<0.001$,$<0.001$
prompt,guided vs label,model=Llama; parser=P2,160,81.25,72.5,8.75,18/4,0.004,0.013,0.005
prompt,guided vs label,model=Qwen; parser=P1,160,72.5,65.0,7.5,21/9,0.043,0.086,0.047
prompt,guided vs label,model=Llama; parser=P1,160,81.88,85.0,-3.12,4/9,0.267,0.267,0.267
