email_id,parser_id,model_name,context_limit,prompt_id,input_tokens,fits,overflow_tokens,status,raw_output,parse_ok,pred_label
1738900436.M627230P2155873_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,10852,True,0,ok,LABEL: 0,True,0
1738900436.M627230P2155873_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,10891,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email contains multiple suspicious URLs that do not match typical hotel booking links.
- The domain name in the URLs (supermemoryzone.com) does not seem to be related to hotels or travel.
- The email uses a generic and impersonal greeting (""To: bruce@untroubled.org"") without any prior context or relationship indication.",True,1
1738900436.M627230P2155873_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,10958,True,0,ok,"LABEL: 1
EVIDENCE:
- Suspicious sender address: ""Hotel Polaris"" <noreply@mailer1-2-vmta-202-106.supermemoryzone.com>
- Mismatched domain in URLs: All links point to ""supermemoryzone.com"" instead of ""hotelpolaris.com""
- Urgent language: ""Now Open: Hotel Polaris—Stay Longer, Save Bigger!""
- Phishing link: http://mailer1-2-vmta-202-106.supermemoryzone.com/track.aspx?u=0&e=6828638&s=91742&w=0&x=400&y=6817608&l=6902517&z=164910552
- Brand impersonation: The email uses the name ""Hotel Polaris"" but the domain does not match.
- Authentication issues: No valid contact information or official hotel details provided.

SUMMARY: The email is likely phishing due to the mismatched domain, suspicious URL, and lack of valid contact information.",True,1
1740508307.3036055_105_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,62892,True,0,ok,LABEL: 1,True,1
1740508307.3036055_105_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,62931,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email uses a suspicious domain name in the URL (e.g., `https://CFERTNKFIN4CWVR.prediksibwtogel.com/`).
- The email contains a generic greeting and is not personalized to the recipient.
- The email includes a call-to-action link that redirects to a suspicious website.
- The subject line and content suggest receiving a Medicare kit, which is unexpected and could be a phishing attempt.
- The email uses poor grammar and spelling throughout, such as ""Dea r United Health Group Go od Shop per,"" ""Wed, 19 Feb 2025 16:27:28 +0100,"" and ""Tells ab out your Shop ping e xperience.""
- The email is formatted with a large image that does not match the claimed purpose of the message (e.g., the TUMI logo in the HTML title).",True,1
1740508307.3036055_105_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,62998,True,0,ok,"LABEL: <1>
EVIDENCE:
- Suspicious link in the email: `https://CFERTNKFIN4CWVR.prediksibwtogel.com/NXlwNkxaaTRUb1dTa3k0YTUzeEZPM2V6QW1obXd6U0YrOU5uZU1pWUx1ckZhZTNIM3g4aWVMRXpJS2lmbMXCS3c0aHd2QURSeEg0WEwwMGxUZTJXZEpNL1d2WVpGWk4veDJySUNVa1pOWGxBNEVrK3lHMEZwNEpLL0pCcmRXTHJpTGZNUHdmVW8vcTZVWHRkY2UrbFJRPT0_`
- Brand impersonation: The email uses the name ""United Health Group"" but the URL and styling are suspicious and do not match official United Health Group branding.
- Urgent language: The email uses phrases like ""Simply need to answer a few quick questions"" which can be seen as an attempt to create urgency.
- Requests for personal information: The email asks the recipient to provide information about their shopping experience, which could be used for identity theft.
- Mismatched sender and reply-to addresses: The sender address is `sale.7263227@fuelsavverelonmusk.net` while the reply-to address is `Your United Health Group Rewards <your.rewards@unitedhealthgroup.com>`. The domain in the link does not match the reply-to address.
- Spelling and grammar issues: The email contains several spelling errors such as ""Dea"", ""Vae"", ""Wae"", ""Tae"", ""Sae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""Wae"", ""Tae"", ""W",True,1
1740508633.3036187_307_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,835,True,0,ok,LABEL: 0,True,0
1740508633.3036187_307_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,874,True,0,ok,"LABEL: 0
EVIDENCE:
- The email address (ada_logisticsgroup@yeah.net) does not appear to be from a reputable logistics company.
- The salutation ""Dear Sir/Msbruce"" is generic and does not use the recipient's name.
- The claim of being a freight forwarder since 2002 lacks specific details that would verify its authenticity.
- The contact information provided (Alibaba account and WeChat/WhatsApp numbers) seems suspiciously straightforward and could be easily replicated by a scammer.",True,0
1740508633.3036187_307_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,941,True,0,ok,"LABEL: <0>
EVIDENCE:
- The sender address (ada_logisticsgroup@yeah.net) does not match a professional domain.
- The email uses informal and unprofessional language (""Sir/Msbruce"", ""u"").
- The contact information provided (Alibaba account, WeChat, WhatsApp) seems generic and not specific to the sender's identity.
- There are no urgent language or pressure tactics used.
- No requests for login, payment, verification, or personal information are made.
- The email appears to be a general business introduction rather than a targeted request for sensitive information.

SUMMARY: The email is benign as it lacks specific phishing indicators and appears to be a general business inquiry.",True,0
1742310374.M66767P4041796_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,1859,True,0,ok,LABEL: 1,True,1
1742310374.M66767P4041796_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,1898,True,0,ok,"LABEL: 1
EVIDENCE:
- The email uses sensational and misleading claims about a common sex position destroying erections.
- The link in the email is suspicious and contains unusual characters and segments (e.g., ""pajgvds"", ""xbonqhv19229rvsd"").
- The email includes testimonials with emotional language and personal stories, which are often used in phishing attempts to elicit a response.",True,1
1742310374.M66767P4041796_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,1965,True,0,ok,"LABEL: 1
EVIDENCE:
- Sender address and subject line are unrelated and inappropriate for a professional organization.
- Suspicious link with a domain that does not match the sender's address (https://www.focusfit.sa.com/).
- Urgent language and pressure tactics (""SHOCKED"", ""ATTACKING"").
- Request for action (clicking on a link to find out more).
- Spelling and grammar issues (""de-vice-width"" instead of ""device-width"", ""gravitationally"" misspelled as ""gravitationally bound"").
- Brand impersonation (the email appears to be from a fitness or health-related website but uses a misleading subject line and content).

SUMMARY: The email is likely phishing due to the mismatch between the sender's address and the content, urgent language, and poor quality of the message.",True,1
1759430349.342747_39_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,2950,True,0,ok,LABEL: 1,True,1
1759430349.342747_39_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,2989,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email contains a suspicious URL (http://www.playshouse.com/cl1xoqm) that does not match the expected domain for AAA.
- The email uses generic and impersonal language, which is common in phishing attempts.
- The email claims to be part of a ""state safety initiative"" but does not provide any specific details or official verification of this claim.
- The email encourages immediate action by stating ""Limited Quantities Available"" and ""We encourage you to claim yours before supplies run out,"" which is a typical tactic used in phishing to create urgency.
- The email is sent from a non-standard domain (tripleemerge@playshouse.com), which is unusual for a legitimate organization like AAA.",True,1
1759430349.342747_39_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3056,True,0,ok,"LABEL: 0
EVIDENCE:
- The email is sent from a generic address `tripleemerge@playshouse.com` which does not match the official AAA domain.
- The link provided in the email is suspicious (`http://www.playshouse.com/cl1xoqm`), as it does not match the typical AAA URL structure.
- There is no mention of needing to provide login, payment, or verification information.
- The email appears to be a promotional message rather than a request for personal information.
- The content seems to be a phishing attempt, mimicking AAA's style but using a different domain and a suspicious link.
- The email contains a mismatched identity, as the sender claims to be AAA but uses a non-official domain.

SUMMARY: The email is phishing due to the use of a non-official domain and a suspicious link, despite the absence of direct requests for personal information.",True,0
1759986948.705671_13_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,3866,True,0,ok,LABEL: 1,True,1
1759986948.705671_13_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,3905,True,0,ok,"LABEL: 1
EVIDENCE:
- Suspicious email address (aarpopportun91@sadisticvixen.com)
- Use of a domain that does not match the legitimate AARP domain
- Presence of a link (http://www.sadisticvixen.com/3ki0phg) that may lead to a phishing site
- Unusual and misspelled words (""Chewy Gift Card*"", ""TrunkOrganizer"") in the free gift options
- Generic and impersonal content that does not reference specific user details or past interactions",True,1
1759986948.705671_13_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3972,True,0,ok,"LABEL: <1>
EVIDENCE:
- The sender address (aarpopportun91@sadisticvixen.com) does not match the official AARP domain.
- The reply-to address is suspicious and does not appear legitimate.
- There are multiple instances of ""JOIN OR RENEW NOW"" which could be seen as pressure tactics.
- The email contains a link (http://www.sadisticvixen.com/3ki0phg) that does not belong to the official AARP domain.
- The unsubscribe link (http://www.sadisticvixen.com/flubbed) is suspicious and likely not legitimate.
- The email uses a domain that is not associated with AARP, which is a red flag.
SUMMARY: The email is phishing due to the mismatched sender and reply-to addresses, suspicious links, and the use of a domain not associated with AARP.",True,1
1759986948.705671_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,2487,True,0,ok,LABEL: 1,True,1
1759986948.705671_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,2526,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email address is suspicious, using a domain that does not match Costco's official domain (e.g., `costco@shoprestigeportraits.com`).
- The URL in the HTML content (`http://www.shoprestigeportraits.com/miiuqlua`) appears to be malicious and does not correspond to a legitimate Costco website.
- The offer seems too good to be true, as it includes a complimentary membership and a Keurig machine, which is unlikely from a legitimate company like Costco.
- The email uses generic greetings and does not provide any personal information to make the message seem more targeted or genuine.
- The use of all-caps and multiple exclamation marks in the text (""WELCOME AGAIN!"", ""THAT'S EVEN BETTER"", ""DON'T MISS THIS OPPORTUNITY!"") is a common tactic in phishing emails to grab attention.",True,1
1759986948.705671_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,2593,True,0,ok,"LABEL: 1
EVIDENCE:
- The sender address is suspicious, using a domain not associated with Costco (costco@shoprestigeportraits.com).
- There are multiple suspicious links in the email (http://www.shoprestigeportraits.com/miiuqlua and http://www.shoprestigeportraits.com/kefoisuanam), which could be used to redirect users to malicious sites.
- The email uses urgent language and pressure tactics, encouraging immediate action (""Don't miss this opportunity. Claim your gifts now"").
- The email contains a request for personal information, although it does not explicitly ask for a login or payment.
- The content and style of the email are inconsistent with typical Costco communications, including the use of incorrect product names and misleading offers.
- The HTML structure and styling are designed to mimic a legitimate email, but the domain in the link is not authentic to Costco.

SUMMARY: The email appears to be a phishing attempt due to its suspicious sender, misleading content, and the presence of clickable links that could lead to malicious websites.",True,1
1760388993.984095_1_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,5215,True,0,ok,LABEL: 0,True,0
1760388993.984095_1_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,5254,True,0,ok,"LABEL: <0>
EVIDENCE:
- The email contains irrelevant and nonsensical content about planks and notches, which does not relate to the subject of the email (road assistance).
- The URL in the offer link is suspicious and does not match the domain of AAA (mbsarees.com instead of aaa.com).
- The email is sent from a generic business email address (AAA Advisory Report <AAAAdvisoryReport@mbsarees.com>) rather than a specific AAA account or official domain.",True,0
1760388993.984095_1_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,5321,True,0,ok,"LABEL: 0
EVIDENCE:
- The email content is unrelated to the sender's claimed identity (AAA Advisory Report).
- The email contains a suspicious link pointing to `http://www.mbsarees.com/atgbicaals`.
- The email uses urgent language and pressure tactics, suggesting limited stock availability.
- The email is poorly formatted and contains typographical errors (e.g., ""While this is a region-endorsed initiative, the number of kits is restricted. We advise you to get yours before they exhaust."").
- The email appears to be a phishing attempt impersonating AAA, but the domain in the link (`mbsarees.com`) does not match AAA's official domain.
- The email is embedded within a message that seems to be a conversation about painting, which is inconsistent with the email's content.

SUMMARY: The email is labeled as benign due to the inconsistency in the context and the presence of a suspicious link, but it exhibits several phishing indicators that should be investigated further.",True,0
1760707991.1229868_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,4882,True,0,ok,LABEL: 0,True,0
1760707991.1229868_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,4921,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email contains a suspicious URL (http://www.shawtai.com/ogvekonenis) that is likely used for phishing.
- The email uses a generic greeting and offers a complimentary set, which is a common tactic in phishing emails to prompt immediate action.
- The email content is mixed with irrelevant technical information about beams and joists, which seems out of place and suspicious.",True,1
1760707991.1229868_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,4988,True,0,ok,"LABEL: <0>
EVIDENCE:
- The email content is mixed with unrelated text about beams and joists.
- The sender address (AAACourtesyBox@shawtai.com) does not match any legitimate AAA email addresses.
- There is a suspicious link in the email (http://www.shawtai.com/ogvekonenis).
- The email uses urgent language and pressure tactics, suggesting limited stock availability.
- There are spelling errors (""CompIimentary"", ""Maintenance Set"").
- The HTML content contains a mismatched brand identity (the email is from AAA but the domain is shawtai.com).

SUMMARY: The email is likely benign but contains several suspicious elements that should be verified before taking any action.",True,0
1761079142.1483004_35_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,3707,True,0,ok,LABEL: 0,True,0
1761079142.1483004_35_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,3746,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email contains unusual and irrelevant content about nested portals and watching the horizon, which seems out of place for a typical membership survey.
- The email uses a suspicious URL (http://www.bhphto.com/im5k) for the ""Join Today"" button, which does not match a legitimate Costco domain.
- The email includes a mix of plain text and HTML, which could indicate an attempt to bypass email filters or hide malicious content.",True,1
1761079142.1483004_35_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3813,True,0,ok,"LABEL: <1>
EVIDENCE:
- The sender address ""C0STC0 Memo <C0STC0Memo@bhphto.com>"" is suspicious and does not match a legitimate Costco email address.
- The URL in the HTML link ""http://www.bhphto.com/im5k"" is suspicious and does not appear to be a legitimate Costco domain.
- The email contains urgent language (""We're urging you to convey thoughts about your latest experiences"") and pressure tactics (""Your feedback steers improvements in value, selection, and service"").
- There is no request for login, payment, or verification, but there is a request for personal information through a questionnaire.
- The email has poor spelling and grammar, such as ""Convey thoughts"" instead of ""Contribute thoughts"".
- The HTML content is heavily stylized and includes placeholders that do not match typical Costco communication style.

SUMMARY: The email is likely benign due to the lack of direct requests for sensitive information, but it contains several suspicious elements that warrant caution.",True,1
1761079142.1483004_61_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,5879,True,0,ok,LABEL: 0,True,0
1761079142.1483004_61_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,5918,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email contains a suspicious URL (`http://www.morganproperies.com/disoezie`) which is misspelled and likely designed to trick recipients into visiting a malicious site.
- The email uses a generic greeting and does not address the recipient by their specific name.
- The email includes grammatical errors and typos (e.g., ""Ninja CREAMi"", ""disoezie""), which are common in phishing attempts to appear less professional and more convincing to unsuspecting recipients.",True,1
1761079142.1483004_61_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,5985,True,0,ok,"LABEL: <1>
EVIDENCE:
- Suspicious sender address (C0STC0 SpeciaI) with misspellings
- Mismatched domain in the URL (http://www.morganproperies.com/disoezie)
- Urgent language (""This member appreciation is available for a short time"")
- Requests for personal information (to complete a questionnaire)
- Spelling and grammar issues (""disoezie"" instead of ""questionnaire"", ""STr:1254"" instead of ""STR:1254"")
- Brand impersonation (Morgan Properties instead of Costco)

SUMMARY: The email is likely phishing due to the suspicious sender, mismatched domain, urgent language, request for personal information, spelling/grammar errors, and brand impersonation.",True,1
1761228356.M285206P1593247_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,4784,True,0,ok,LABEL: 1,True,1
1761228356.M285206P1593247_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,4823,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email contains a suspicious URL (`http://www.scchoology.com/1zr2y8bp`) that does not match the expected domain of AAA or any legitimate organization.
- The email uses a generic greeting and does not address the recipient by their name, which is a common phishing tactic.
- The email content is inconsistent with the sender's identity, as it appears to be from a person discussing crafting projects, yet the email body is about a roadside relief kit, which seems out of context.",True,1
1761228356.M285206P1593247_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,4890,True,0,ok,"LABEL: <1>
EVIDENCE:
- Suspicious link: http://www.scchoology.com/1zr2y8bp
- Brand impersonation: The email uses ""AAA"" as the sender and mentions ""AAA Roadside Relief,"" which is not a recognized AAA domain or service.
- Urgent language: ""Limited Supplies Available: While this is a community-sponsored scheme, the number of collections is restricted. We urge you to secure yours before supplies are depleted.""
- Requests for action: The email encourages the recipient to ""Redeem Your Gift Bundle"" by clicking on a suspicious link.
- Formatting issues: The email contains unusual HTML and plain text sections, suggesting it may be a template used for phishing.
- Spelling and grammar issues: The email includes several grammatical errors and awkward phrasing, such as ""Your post is notched to support a beam, not a joist.""

SUMMARY: The email is highly suspicious due to the presence of a fake link, brand impersonation, and urgent language, indicating it is likely a phishing attempt.",True,1
1761333036.1668955_63_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,2634,True,0,ok,LABEL: 0,True,0
1761333036.1668955_63_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,2673,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email address (omahasteakss@nstabo.com) appears suspicious and is not a legitimate Omaha Steaks domain.
- The URL provided (http://www.nstabo.com/aagoj) seems unusual and could be a phishing link.
- The offer mentions ""absolutely zero EXPENSE to you!"" which is a common tactic used in phishing emails to create urgency and fear.
- The email contains irrelevant weather information and a paragraph about cooking, which does not seem to be related to the main content of the email and can be a sign of phishing attempts.",True,1
1761333036.1668955_63_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,2740,True,0,ok,"LABEL: 0
EVIDENCE:
- The sender address ""OmahaSteaks Sampler <omahasteakss@nstabo.com>"" does not match the official Omaha Steaks email domain (omahasteaks.com).
- The URL ""http://www.nstabo.com/aagoj"" appears suspicious and does not correspond to the official Omaha Steaks website (omahasteaks.com).
- The email contains urgent language (""Offer concludes tomorrow"") and pressure tactics to prompt immediate action.
- There are multiple spelling and grammatical errors (""EXPENSE"", ""EXPENSE"", ""filet mignon"", ""ribeye steaks"").
- The email includes irrelevant weather information and a long list of city names that do not seem to be related to the offer.
- The content is formatted unusually, with some parts appearing as plain text and others as HTML, which could indicate a phishing attempt.

SUMMARY: The email is likely a phishing attempt due to the suspicious sender address, URL, urgent language, and formatting issues.",True,0
1761699727.1920909_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,3117,True,0,ok,LABEL: 1,True,1
1761699727.1920909_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,3156,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email uses a suspicious domain (brasilheirinhas.com) that does not match the legitimate Ace Hardware domain.
- The email contains grammatical errors and misspellings (""cIaim it now"", ""you deserve it"").
- The email includes a link (http://www.brasilheirinhas.com/fundsr) that appears to be malicious or misleading.",True,1
1761699727.1920909_7_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3223,True,0,ok,"LABEL: 1
EVIDENCE:
- The sender address (acestag@brasilheirinhas.com) does not match the domain (www.acehardware.com).
- There is a suspicious link (http://www.brasilheirinhas.com/fundsr) that redirects to a different domain.
- The email uses urgent language and pressure tactics, urging the recipient to act quickly.
- The email contains a request for the recipient to claim a reward by clicking on a link, which is a common phishing tactic.
- The subject line and content are inconsistent with typical communication patterns of a trusted organization.
- The HTML content includes stylized elements that mimic a legitimate company's design but are used to trick the user.

SUMMARY: The email is likely phishing due to the mismatched sender address, suspicious link, urgent language, and inconsistent content.",True,1
1761699762.1920913_149_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,3060,True,0,ok,LABEL: 1,True,1
1761699762.1920913_149_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,3099,True,0,ok,"LABEL: <1>
EVIDENCE:
- The email is sent from an unusual domain (tryvexcapital.com) which does not match the expected domain (omaha-steaks.com).
- The email contains a suspicious URL (http://www.tryvexcapital.com/axbuxok) that redirects to an unknown website.
- The offer of a complimentary steak box valued over $600 is too good to be true and seems highly unlikely.",True,1
1761699762.1920913_149_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,guided,3166,True,0,ok,"LABEL: <1>
EVIDENCE:
- Suspicious sender address (omaha@tryvexcapital.com) does not match the known Omaha Steaks domain.
- Urgent language or pressure tactics (""Claim Your Complimentary Steak Box"", ""Combating Rising Costs"").
- Requests for personal information (implied by the link to claim a complimentary box).
- Suspicious URL (http://www.tryvexcapital.com/axbuxok) which does not match known Omaha Steaks URLs.
- Brand impersonation or mismatched identities (the email appears to be part of a phishing campaign rather than a legitimate communication from Omaha Steaks).

SUMMARY: The email is likely phishing due to the mismatched sender address, suspicious URL, and the attempt to pressure the recipient into claiming a complimentary box.",True,1
1761699762.1920913_17_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,label,2895,True,0,ok,LABEL: 1,True,1
1761699762.1920913_17_P1,P1,Qwen/Qwen2.5-7B-Instruct,131072,evidence,2934,True,0,ok,"LABEL: <0>
EVIDENCE:
- The email is sent from a generic domain (tripleemerge@nippyboc.com), which does not match typical professional email domains.
- The URL provided (http://www.nippyboc.com/laez) is suspicious and does not appear to be related to AAA or any known emergency kit distribution.
- The email contains a congratulatory message followed by a call to action to ""Claim Your Kit Now,"" which is a common tactic used in phishing emails to prompt immediate action.
- The inclusion of a list of items in the kit (e.g., AAA Double-Sided Carry Bag, AAA Aluminum Flashlight) seems unusual and could be an attempt to confuse the recipient into thinking it's a legitimate offer.
- The email is mixed with unrelated personal messages from other recipients, which is not typical for a phishing email that usually focuses solely on the phishing attempt.",True,0
